id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm
730206388561082761,HPZP_296_Ploenchit&Nana BTS/roof pool/48sqm/500WFi,35082871,Ed,Khlong Toei,13.739729359870584,100.55188448652954,Entire home/apt,1811,1,6,2022-12-24,3.4,33,6
730207351896576626,Vibe sky pool 2 bedrooms joddfairs asoke rama9,473454250,Morri,Huai Khwang,13.75429,100.56963,Entire home/apt,4137,35,1,2022-12-09,1.0,9,1
730211560766671433,1L7曼谷市中心泳池高档公寓，rama9地铁站300米,231239852,Aimy,Huai Khwang,13.75341,100.56508,Entire home/apt,1500,90,2,2022-12-11,2.0,19,2
724850415931124985,Private King bedroom with AC and Balcony,215302964,Anthony,Phra Khanong,13.69891,100.59943,Private room,679,3,1,2022-11-07,0.58,7,1
730211740602883540,2L9市中心2房公寓，配备泳池健身房,231239852,Aimy,Din Daeng,13.7567,100.56078,Entire home/apt,3214,30,1,2022-11-06,0.57,19,1
724872294823791915,Comfy clean room w/ King Bed Near MRT – 7 Min Walk,62043835,Lalitpat,Bang Khae,13.71536,100.4077,Entire home/apt,870,1,6,2022-12-21,2.05,1,6
730232250856257126,Luxury 1 BR Asoke with balcony + Sky pool 35th Flr,19213283,Jay,Vadhana,13.73819,100.56369,Entire home/apt,1471,2,10,2022-12-19,4.35,7,10
724879572321910648,Private Double Bunk Beds @ 168 Hostel,79438384,Norman,Parthum Wan,13.74752,100.52276,Private room,1299,1,1,2022-11-24,0.86,5,1
730288193986493453,HPZP_247_Ploenchit&Nana BTS/roof pool/500mb WiFi,35082871,Ed,Khlong Toei,13.739740418118137,100.5518468068552,Entire home/apt,1393,1,10,2022-12-23,4.11,33,10
730309913612970640,"Green Therapy! Tennis Courts, Pool+Gym, Breakfast",26620868,Gilles,Lak Si,13.86176,100.57113,Entire home/apt,4046,1,1,2022-11-17,0.71,34,1
724885860895535592,°Private capsule room° Heart of bangkok,79438384,Norman,Parthum Wan,13.74561,100.52409,Private room,744,1,2,2022-12-04,1.5,5,2
730315445623322146,"Awesome View, near MRT Queen Sirikit, Huge TV",30386490,N'Dee,Khlong Toei,13.7272,100.56017,Entire home/apt,4196,1,11,2022-12-19,4.18,23,11
724901115761521390,"Cozy twin bed for living in Bangkok, Ramkamhaeng.",43573380,Polpat,Bang Kapi,13.759,100.61512,Private room,600,1,3,2022-12-12,1.91,1,3
730341564629399745,"Studio near Asok BTS and Malls, Breakfast incl.",26620868,Gilles,Khlong Toei,13.73454,100.56192,Entire home/apt,1190,2,1,2022-11-03,0.54,34,1
730351763605367908,"Pop Double, Terminal 21-Sukhumvit, w/ Breakfast",26620868,Gilles,Khlong Toei,13.73401,100.55977,Entire home/apt,1190,1,1,2022-10-10,0.37,34,1
724955205760613528,"Superhost, near NANA BTS, Smart TV, Fast Internet",30386490,N'Dee,Khlong Toei,13.74085,100.55108,Entire home/apt,2594,1,5,2022-11-26,1.85,23,5
730419113848537530,"New Minimalist Suite in the GalileOasis,Siam 324",451602547,Mam GalileOasis,Ratchathewi,13.75188,100.52524,Entire home/apt,3690,1,2,2022-12-05,2.0,9,2
730716006532788124,Rooftop pool gym luxury cozy 2 bedroom 60sqm @BTS,178797330,Xu,Khlong Toei,13.7266,100.56443,Entire home/apt,3018,1,1,2022-12-28,1.0,24,1
725057543034282922,湄南河旁的生活圈公寓,455700678,Zhang,Bangkok Noi,13.75415,100.4673,Entire home/apt,800,3,3,2022-12-13,1.53,20,3
725127280674390285,Modern Studio - Bangkok City Center POOL/GYM/WIFI,153795155,Alexandre Vincent Pierre,Bang Na,13.67648,100.6352,Entire home/apt,1215,1,8,2022-12-14,2.67,9,8
730740738609284063,14-BTS Thong Lo free swimming pool and gym,402093105,Hi Gravity,Khlong Toei,13.72246,100.57434,Entire home/apt,1581,7,2,2022-11-01,0.82,45,2
730785073361056245,曼谷市中心loft/靠近BTS Surasak/带泳池/健身房,139189243,Hana,Sathon,13.71176,100.51928,Entire home/apt,1500,1,2,2022-12-08,1.67,29,2
725158733714898191,최고위치!수쿰빗/아속역/코리아타운/터미널21/5분이내/루프탑수영장/헬스장,480574247,Lee,Khlong Toei,13.73449,100.55881,Private room,1296,3,5,2022-12-24,1.85,1,5
730883100661343062,精品studio/rama9/无边泳池/中文接待/新火车夜市/中国大使馆/rca酒吧街,264864968,Tricia,Ratchathewi,13.75306,100.56256,Entire home/apt,1327,7,5,2022-12-09,1.97,44,5
725188210905133252,เกร์ยเฮ้าส์,481243054,Nungnuch,Bangkok Noi,13.7563949,100.4719473,Private room,503,1,6,2022-12-13,3.4,2,6
730887618958211893,rama9精品studio/无边泳池/尚泰购物中/火车夜市/中国大使馆/中文接待,264864968,Tricia,Ratchathewi,13.75528,100.56264,Entire home/apt,1327,7,1,2022-12-05,1.0,44,1
730887761782141763,Modern 1 bed SUITE located in Sukhumvit 18 Bangkok,482317117,Sarunya,Khlong Toei,13.733090400871198,100.56367369803228,Private room,5128,1,1,2022-12-19,1.0,1,1
725225545424097034,Chaophaya River View asiatique Room,112885178,Nantaphorn,Khlong San,13.70981,100.50044,Private room,1629,30,1,2022-11-30,1.0,3,1
730890624381751993,rama9精品studio/无边泳池/空中步道/mrt/火车夜市/中文接待/中国大使馆,264864968,Tricia,Din Daeng,13.75533,100.56437,Entire home/apt,1327,7,1,2022-10-18,0.42,44,1
725640161060324193,36Amazing pool and Gym Rama9 MRT 5mis,480534455,Vicky,Ratchathewi,13.7541882,100.5632693,Entire home/apt,1307,7,2,2022-11-19,1.25,14,2
730927939279957069,Chic 1BR 35sqm. ICON SIAM  @BTS Talad Plu(S10),318980015,Thapanee,Thon buri,13.71489,100.47744,Entire home/apt,1200,14,2,2022-12-16,1.09,6,2
725646992502131163,37.Amazing pool and Gym Rama9 MRT 5mins,480534455,Vicky,Ratchathewi,13.75493,100.56273,Entire home/apt,1514,7,1,2022-10-11,0.38,14,1
725688675484228649,Bangkok 2510: 420 Friendly atop Craft Beer Barcade,165965988,Pumpim,Khlong Toei,13.71188,100.59346,Private room,1956,2,1,2022-12-15,1.0,1,1
730932853899522561,House in Old Town near BTS Bang Wa(S12) ICON SIAM,318980015,Thapanee,Phasi Charoen,13.71628,100.45495,Private room,950,1,1,2022-11-23,0.83,6,1
730940723526624101,"Grand Trip Hotel Studio, 5 mins to BTS Udomsuk",15450556,Cindy,Bang Na,13.6789,100.61273,Entire home/apt,630,3,2,2022-12-16,2.0,18,2
731367820575963544,rama9顶级公寓超豪华全新一居室,119203329,Leona,Huai Khwang,13.75625,100.5712,Entire home/apt,1483,1,2,2022-12-26,0.97,20,2
731528611767990834,Luxury condo in Bangkok,106851533,Thaithai,Parthum Wan,13.7407,100.54064,Entire home/apt,2257,30,1,2022-12-14,1.0,2,1
733972343145951879,景觀舒服開揚/特大會所設施/近Phra Ram 9MRT臨近夜市,223789945,Key,Huai Khwang,13.756786953984673,100.56885235011578,Entire home/apt,1884,1,2,2022-12-05,1.58,2,2
725692201350126413,One bedroom near BTS and icon Siam with river view,131270916,Magic,Khlong San,13.7208,100.49307,Entire home/apt,1364,29,1,2022-12-05,1.0,33,1
725720912568322251,Rooftop pool gym luxury cozy studio@ BTSphromphong,178797330,Xu,Khlong Toei,13.72661,100.5664,Entire home/apt,1563,1,3,2022-12-05,1.61,24,3
725752723385978764,12 BTSwongwianyai大皇宫iconsiam 泳池 wifi 轻奢公寓,205008955,Moon,Khlong San,13.72165,100.49618,Entire home/apt,800,28,1,2022-11-03,0.54,20,1
725768336424117962,Travel from 'The Giant Swing' At Khao San Road,296460330,RoomQuest,Phra Nakhon,13.75522,100.50121,Private room,1500,1,2,2022-10-30,0.92,12,2
725772289964300640,NEW*Luxury 2BR Apartment Riverview-Netflix-MRT*3TV,304055756,Carsten,Bang Phlat,13.78699,100.49855,Entire home/apt,2207,3,4,2022-12-22,2.22,2,4
725785902415540985,Sale! BTS On Nut/Sukhumvit 87/loft/pool/gym/wifi,201677068,Curry,Phra Khanong,13.7015654,100.6032929,Entire home/apt,1600,1,4,2022-12-11,2.22,228,4
725790132702788921,"@HOMM 34 Sukhumvit Bkk., We Make It Unique Styles",481361352,Charn,Khlong Toei,13.723788005702012,100.57253030370482,Private room,4496,1,2,2022-11-20,0.81,1,2
734312346364080101,"Bus:[A4] from DMK 
[S1] from Suvarnnabhumi airport",73663817,Pimmas,Pom Prap Sattru Phai,13.7554488,100.5144627,Private room,1000,180,1,2022-11-08,0.59,1,1
731566770928759750,Cozy 3 Bedroom Townhouse 2 min BTS Onnut Sukhumvit,482451739,Purin,Phra Khanong,13.70582694501948,100.60475331349184,Private room,3700,1,3,2022-12-21,3.0,1,3
725879625704951265,Nice room  mrt huykwang night life new CBD,87760756,Ani,Huai Khwang,13.78410093911588,100.58492079377174,Entire home/apt,772,3,2,2022-11-25,1.46,2,2
726156247782593576,Luxury Japanese Room with Fantastic Lights,122474174,Boom',Chatu Chak,13.815809642028224,100.56286130100489,Entire home/apt,2490,60,1,2022-10-21,0.43,1,1
726244963268262148,Comfortable 1 bedroom rental on Sukhumvit 22,61579423,Thiwaluck,Khlong Toei,13.72775,100.56436,Entire home/apt,1200,30,1,2022-12-14,1.0,7,1
726304300268208081,City centered and lovely room,207050249,NAttonchi,Khlong Toei,13.72233,100.5774,Entire home/apt,1214,1,3,2022-12-09,1.8,1,3
726445727890873309,Sale! BTS On Nut/Sukhumvit 87/loft/pool/gym/wifi,201677068,Curry,Phra Khanong,13.7015654,100.6032929,Entire home/apt,1600,1,1,2022-11-16,0.7,228,1
726482735199984872,Sale! BTS On Nut/Sukhumvit 87/loft/pool/gym/wifi,314945555,Nana,Phra Khanong,13.7015654,100.6032929,Entire home/apt,1600,1,3,2022-12-25,2.09,49,3
726498811034581375,曼谷湄南河无敌超美一线河景公寓大皇宫郑王庙卧佛寺摩天轮夜市iconsiam商场暹罗广场四面佛34,134974883,Yoyo,Bang Phlat,13.7866,100.4987,Entire home/apt,1100,10,3,2022-12-07,2.14,8,3
726512577261594963,Sale! BTS On Nut/Sukhumvit 87/loft/pool/gym/wifi,314945555,Nana,Phra Khanong,13.7015654,100.6032929,Entire home/apt,1886,1,3,2022-12-05,1.7,49,3
726514668883381419,配备免费停车位的好房子,481212674,Eaakkachai,Bueng Kum,13.83331,100.63705,Entire home/apt,3100,1,2,2022-10-31,0.73,1,2
726532593187844897,曼谷湄南河无敌超美一线河景公寓大皇宫郑王庙卧佛寺摩天轮夜市iconsiam商场暹罗广场四面佛37,134974883,Yoyo,Bang Phlat,13.7863,100.49864,Entire home/apt,700,10,2,2022-12-17,2.0,8,2
726555865659194592,1-bedroom apartment sukhumvit (BTS walk-distance),171603843,Arisudan Gopal,Suanluang,13.70985,100.60625,Entire home/apt,650,1,18,2022-12-22,6.51,11,18
